id,user_id,user_group,user_block,individual_id,predicted_decision,enter_time,leave_time
145,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,dummy2,98,1551487922679,1551487930992
146,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,487,58,1551487930992,1551487935201
147,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1451,45,1551487935200,1551487938379
148,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1586,58,1551487938379,1551487941041
149,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,254,62,1551487941039,1551487944683
150,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,144,62,1551487944683,1551487947247
151,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,567,19,1551487947246,1551487951232
152,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,616,22,1551487951231,1551487954759
153,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,143,38,1551487954758,1551487958420
154,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,665,38,1551487958419,1551487961023
155,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,39,42,1551487961023,1551487963421
156,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1244,81,1551487963421,1551487967991
157,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,598,12,1551488107126,1551488124698
158,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,1091,5,1551488128757,1551488139437
159,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,970,8,1551488142002,1551488152351
160,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,663,42,1551488154117,1551488164867
161,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,289,5,1551488168264,1551488176011
162,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,1545,42,1551488178192,1551488186358
163,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,1207,25,1551488188285,1551488196391
164,8d0e6e0e3d1937a7c6ccc2f865928074,feedback_full,1,1063,2,1551488198766,1551488207432
